Letter   Occurrences   Frequency
a           535         0.0772
b           108         0.0156
c           176         0.0254
d           244         0.0352
e           866         0.1250
f           218         0.0315
g           169         0.0244
h           361         0.0521
i           530         0.0765
j            20         0.0029
k            51         0.0074
l           330         0.0476
m           185         0.0267
n           464         0.0670
o           581         0.0839
p            96         0.0139
q             6         0.0009
r           408         0.0589
s           404         0.0583
t           652         0.0941
u           173         0.0250
v            77         0.0111
w           150         0.0217
x             5         0.0007
y           112         0.0162
z             5         0.0007
